weightFrond,areaFrond,depth,location
10,155.0387597,13.5,McKenzie Rock
50,669.3440428,13.5,McKenzie Rock
100,1254.705144,13.5,McKenzie Rock
500,5399.568035,13.5,McKenzie Rock
10,149.9250375,18,McKenzie Rock
50,694.4444444,18,McKenzie Rock
100,1342.281879,18,McKenzie Rock
