lengthStipe,NperSqM
52.2,3.7
142.9,1.8
246.5,1.2
343.7,1.3
440.8,0.9
551,1
641.6,0.3
758.2,0.7
855.4,1.6
959,1.6
1036.8,0.3
1146.9,0.7
1231.1,0.3
1341.2,0.1
1444.8,0.3
