weightStipe,weightFrond
1.0526,0.6926
1.0526,1.7316
1.4035,2.9437
1.5789,2.0779
1.5789,4.1558
1.5789,4.8485
0.8772,5.1948
2.4561,3.9827
2.4561,3.4632
2.9825,4.1558
5.2632,4.329
4.0351,4.6753
2.9825,6.0606
4.0351,6.0606
4.0351,6.9264
5.2632,7.619
4.7368,7.0996
6.1404,7.0996
7.3684,7.9654
7.3684,8.1385
7.193,9.3506
7.8947,10.0433
6.3158,9.3506
7.193,10.3896
8.9474,9.8701
10,9.8701
12.1053,11.0823
15.2632,11.0823
7.8947,11.9481
7.193,11.0823
5.2632,10.2165
6.1404,10.7359
4.7368,10.9091
6.1404,11.7749
6.3158,12.6407
6.3158,13.8528
10,19.0476
12.6316,19.2208
15.2632,15.0649
15.2632,10.9091
11.5789,11.0823
16.1404,15.4113
15.2632,14.8918
18.9474,14.3723
20,15.2381
20.8772,16.1039
21.9298,15.2381
31.4035,14.5455
58.5965,2.9437
17.8947,18.1818
19.2982,19.5671
20.8772,20.0866
18.9474,21.9913
15.614,22.1645
12.1053,19.5671
10,19.3939
25.0877,35.3247
34.386,28.3983
43.1579,32.381
44.386,31.1688
57.0175,39.1342
