lengthStipe,NperSqM
52.9,0.5
152.3,3.5
257.3,2.4
351.1,1.1
456.1,1.3
550,0.5
649.4,1.7
743.3,1.2
842.7,1.4
947.6,1.6
1041.5,1
1129.9,0.2
