lengthStipe,NperSqM
44.3,0.6
132,2
237.3,1.5
342.6,1.5
432.9,1.6
540.6,1.3
640.9,0.9
743.7,1.6
844,2.7
939.2,2.3
1039.5,1.4
1137.3,1.5
1240,1.8
1335.3,1.3
1430.5,1.4
1543.4,0.9
1651.1,1.5
