weightFrond,areaFrond
2.8106062,33.65890629
3.472162162,39.79238776
4.556170838,39.19223225
6.64354682,53.93864099
6.951843713,62.80583588
7.274447267,60.92562597
8.332973486,75.38761431
9.401561688,83.84940786
10.44960803,89.12509381
7.96342694,90.48987744
7.843321189,124.5374589
8.717661466,122.6591639
9.401561688,122.6591639
10.29200527,122.6591639
11.78962523,166.302968
13.50516828,161.3243783
14.7842739,158.8546749
18.8234836,243.2204009
21.56254407,243.2204009
23.60478233,258.523484
25.84044569,274.72615
29.60056495,274.72615
33.90783023,274.72615
43.82278761,301.0232221
31.92272818,296.414879
33.4041173,305.632828
28.7210293,305.632828
27.03958364,339.9382231
30.05384208,345.1437393
34.94620337,339.9382231
38.25603887,366.7752316
36.01637504,383.9723926
47.26068369,446.9922568
50.19957034,433.6107094
53.32121047,433.6107094
51.73685201,453.8371048
50.19957034,482.3918924
56.65001119,482.3918924
58.38482731,553.0953407
72.11074792,536.5373995
76.59492584,634.3077242
75.45708085,653.88293
72.11074792,694.8643007
74.31902441,705.6673112
77.76783345,705.6673112
81.37668608,784.8741035
87.7404788,821.4856851
100.5078539,716.4732824
100.5078539,859.8050667
115.1330474,846.8373413
173.0613153,1580.156129
