lengthStipe,NperSqM
47.4,0.4
146.8,0.4
246.2,0.3
345.6,0.6
450.6,0.3
550,0.5
660.4,0.4
748.8,0.6
837.2,0.3
942.1,0.3
1041.5,0.2
1146.4,0.2
1256.9,0.2
1350.8,0
1439.2,0.2
