lengthStipe,NperSqM
52.9,2.1
152.3,4.5
240.7,3.9
351.1,0.1
439.5,0.5
544.4,0.1
638.3,0.2
737.7,1.9
837.2,0.2
942.1,0.6
1041.5,0.1
1140.9,0.9
1251.4,1
1345.3,1.6
1433.6,0.2
1544.1,0.9
1643.5,1.4
1731.9,1.5
1831.3,0.2
1941.7,0.5
