lengthStipe,proportion
15.3,0.090818363
72.5,0.052894212
129.8,0.047904192
171.8,0.037924152
221.4,0.048902196
278.6,0.043912176
324.4,0.028942116
370.2,0.022954092
427.5,0.022954092
469.5,0.010978044
519.1,0.036926148
564.9,0.000998004
626,0.02994012
675.6,0.062874251
721.4,0.051896208
771,0.042914172
820.6,0.053892216
870.2,0.063872255
912.2,0.053892216
969.5,0.096806387
1015.3,0.091816367
1068.7,0.005988024
