lengthStipe,NperSqM
45.3,2.5
136.9,2.1
240,1.6
343.1,1.4
446.1,1.3
526.3,0.7
652.3,0.8
743.9,0.7
841.3,1.4
938.6,1.7
1047.4,1
1144.7,0.3
