depth,metric,mean,se,location,scale
2,lengthFrond,72.19,1.58,SW Wales (C),per individual
5,lengthFrond,63.75,2.88,SW Wales (C),per individual
10,lengthFrond,42.63,3.3,SW Wales (C),per individual
15,lengthFrond,0,0,SW Wales (C),per individual
2,lengthFrond,89.38,2.07,SW England (D),per individual
5,lengthFrond,84.13,3.47,SW England (D),per individual
10,lengthFrond,81.69,1.8,SW England (D),per individual
15,lengthFrond,0,0,SW England (D),per individual
2,lengthTotal,220.94,6.36,N Scotland (A),per individual
5,lengthTotal,220.25,5.01,N Scotland (A),per individual
10,lengthTotal,231,4.64,N Scotland (A),per individual
15,lengthTotal,204.25,4.8,N Scotland (A),per individual
2,lengthTotal,238.75,4.91,W Scotland (B),per individual
5,lengthTotal,235.75,8.53,W Scotland (B),per individual
10,lengthTotal,203.31,8.17,W Scotland (B),per individual
15,lengthTotal,87.16,8.22,W Scotland (B),per individual
2,lengthTotal,161,2.2,SW Wales (C),per individual
5,lengthTotal,135.69,4.88,SW Wales (C),per individual
10,lengthTotal,75.94,5.21,SW Wales (C),per individual
15,lengthTotal,0,0,SW Wales (C),per individual
2,lengthTotal,168.13,3.9,SW England (D),per individual
5,lengthTotal,153.31,4.66,SW England (D),per individual
10,lengthTotal,121.44,4.16,SW England (D),per individual
15,lengthTotal,0,0,SW England (D),per individual
2,widthFrond,46.5,1.15,N Scotland (A),per individual
5,widthFrond,50.06,1.53,N Scotland (A),per individual
10,widthFrond,50.94,2.25,N Scotland (A),per individual
15,widthFrond,48.38,1.89,N Scotland (A),per individual
2,widthFrond,55.63,1.69,W Scotland (B),per individual
5,widthFrond,54.43,1.95,W Scotland (B),per individual
10,widthFrond,54.31,2.05,W Scotland (B),per individual
15,widthFrond,27.53,2.6,W Scotland (B),per individual
2,widthFrond,32.69,1.25,SW Wales (C),per individual
5,widthFrond,30.38,1.21,SW Wales (C),per individual
10,widthFrond,22.13,1.27,SW Wales (C),per individual
15,widthFrond,0,0,SW Wales (C),per individual
2,widthFrond,35.06,1.84,SW England (D),per individual
5,widthFrond,32.06,1.42,SW England (D),per individual
10,widthFrond,27.88,1.06,SW England (D),per individual
15,widthFrond,0,0,SW England (D),per individual
2,weightFrond,736.31,44.29,N Scotland (A),per individual
5,weightFrond,704.31,47.99,N Scotland (A),per individual
10,weightFrond,531.81,47.1,N Scotland (A),per individual
15,weightFrond,316.13,21.84,N Scotland (A),per individual
2,weightFrond,861.06,49.39,W Scotland (B),per individual
5,weightFrond,570.19,50.26,W Scotland (B),per individual
10,weightFrond,337,26.51,W Scotland (B),per individual
15,weightFrond,53.63,8.84,W Scotland (B),per individual
2,weightFrond,493.06,31.18,SW Wales (C),per individual
5,weightFrond,362.31,29.95,SW Wales (C),per individual
10,weightFrond,91.38,15.1,SW Wales (C),per individual
15,weightFrond,0,0,SW Wales (C),per individual
2,weightFrond,444.69,40.08,SW England (D),per individual
5,weightFrond,339.44,35.33,SW England (D),per individual
10,weightFrond,223.44,21.31,SW England (D),per individual
15,weightFrond,0,0,SW England (D),per individual
2,weightTotal,2086.44,108.82,N Scotland (A),per individual
5,weightTotal,1937.5,79.21,N Scotland (A),per individual
10,weightTotal,2053.88,119.15,N Scotland (A),per individual
15,weightTotal,1165.38,66.11,N Scotland (A),per individual
2,weightTotal,2487.63,108.26,W Scotland (B),per individual
5,weightTotal,1953.19,206.53,W Scotland (B),per individual
10,weightTotal,1318.19,92.46,W Scotland (B),per individual
15,weightTotal,149.94,24.95,W Scotland (B),per individual
2,weightTotal,1126.5,41.05,SW Wales (C),per individual
5,weightTotal,829.81,80.61,SW Wales (C),per individual
10,weightTotal,187.06,24.46,SW Wales (C),per individual
15,weightTotal,0,0,SW Wales (C),per individual
