day,FAI
339.115,0.7863
736.8424,2.7823
1000.5982,8.2258
996.4115,11.3105
1029.9044,12.6411
1038.2778,18.9315
1394.1389,11.9758
1398.3256,2.1169
1720.6938,6.5927
1724.8805,8.4073
