lengthStipe,NperSqM
43,1.5
150.7,2.7
236.8,1.9
365.9,1.5
444.8,1.1
538.1,0.6
652.9,0.8
753.4,0.4
846.6,1.3
947.1,2.4
1047.5,2.6
1148,3.4
1248.4,0.3
1356.1,0.8
