lengthStipe,NperSqM
57.3767,5.9259
153.2456,3.7037
254.0309,1.358
352.358,4.1975
450.6851,1.358
541.6376,2.3457
654.7138,1.9753
748.1245,1.9753
858.7425,5.0617
954.6,7.3
1050.5,5.1
1156.2,4.4
1244.7,2.3
1347.9,1
