lengthStipe,NperSqM
52.9044,0.3529
152.3169,0.7647
251.7295,0.4118
351.142,0.4706
450.5545,0.4118
544.4441,0.6471
643.8566,0.4118
748.7921,0.7059
853.7275,0.7647
947.6171,1.0588
1036,0.7
1157.5,0.5
1229.3,0.4
1350.8,0.3
1433.6,0.4
