weightFrond,areaFrond
10.31335578,115.2391377
9.97011115,134.6480288
7.865023055,187.9749595
11.67615899,242.7168907
13.0737447,175.8328437
14.96924857,198.7009759
14.96924857,187.9749595
17.73372625,237.4105423
19.40885878,283.6612419
29.47134796,418.600748
31.53552025,432.8127042
29.14070135,478.2995805
29.14070135,522.8775553
32.99894079,540.629824
35.31018557,540.629824
36.52582214,500.1496854
40.88838903,517.011258
42.77598315,698.0716486
45.26890609,738.0741584
57.37200135,871.9669013
53.61669006,815.6427871
59.36083482,771.6138245
66.45076729,721.7719497
68.73849196,901.5711376
68.73849196,996.5520801
72.72772457,1101.2857
74.38750629,942.5404556
83.29136894,871.9669013
88.12517654,1030.38612
88.12517654,1177.334851
95.3674126,1138.675562
81.43291852,1258.635567
74.38750629,1286.767253
102.0469432,1258.635567
106.7578945,1286.767253
98.6506611,1345.550494
95.3674126,1406.695182
97.54387404,1454.454032
122.2643941,1390.913108
112.9795915,1589.644457
118.1952436,1661.881296
123.6516739,1625.548756
126.4736347,1699.417163
132.3122333,1836.961271
139.9909627,1737.400731
151.4955932,1680.350966
146.4535826,1963.812409
146.4535826,2053.052239
153.2498295,1899.328128
156.7472752,2122.755623
169.6289602,2053.052239
177.459805,2268.819781
177.459805,2480.275938
192.0436714,2621.802662
