weightFrond,areaFrond
8.126433766,104.7369686
7.901326352,139.3798523
10.19295249,122.5462426
10.19295249,98.9008445
10.19295249,160.7681447
10.19295249,284.77378
12.08091977,177.7051442
14.93825952,196.3812409
14.93825952,213.9439452
16.97070952,293.021846
17.70516588,323.8172647
19.00203003,328.4732443
20.10944108,319.2272818
18.21377637,257.6321157
19.82896289,272.7721331
21.89273398,272.7721331
28.24879975,280.7372232
28.24879975,314.7023602
30.75388599,328.4732443
30.75388599,357.9315656
30.3179617,368.2985423
35.93353968,310.2415775
34.93011376,328.4732443
34.93011376,378.9657838
34.93011376,407.0052394
34.44292294,430.9233228
36.45020708,443.4044016
38.02769482,483.1700432
40.81313916,598.6872372
53.41952229,661.6068606
65.11784205,616.0273583
79.39625173,752.4887302
94.10224835,945.5837496
94.10224835,1122.535282
100.9950294,932.1804703
152.2649696,1075.474209
148.0130473,1472.651554
188.3215413,1723.455205
207.9217874,1877.586699
216.9202019,1699.025903
226.360164,1627.796086
239.5521097,1699.025903
242.9405442,1798.870915
232.8627382,1959.746963
236.1565524,1987.925021
249.9194175,1987.925021
264.4843627,2228.948325
268.2872291,2359.934776
264.4843627,2075.391339
313.4728988,2135.502086
322.4779319,2393.866901
300.4000496,2534.544963
322.4779319,2570.987706
336.4340936,2534.544963
371.5352291,2293.50663
366.2688628,2534.544963
382.2081997,2801.560464
398.7493609,2761.849442
387.6144867,3140.508694
387.6144867,3231.469044
410.204103,3231.469044
428.0554196,3231.469044
428.0554196,2924.152378
459.40953,2924.152378
465.9078201,2801.560464
529.2976917,3008.846277
479.2918012,3372.873087
486.1832585,3571.905825
493.0602596,3675.360978
560.1444019,3947.298777
609.817664,4179.265867
663.7430704,4425.883724
