lengthStipe,NperSqM
44.3,1.5
142.1,0.8
239.8,12.9
335.1,19.4
435.4,26.5
530.6,10.3
638.4,7.3
738.7,17.1
828.9,31.8
936.7,10.3
1039.5,2.3
