lengthStipe,NperSqM
57.4,3.2
150.7,6
236.8,4
337.2,1.4
452,2.6
538.1,0.3
652.9,0.8
739,0.5
846.6,0.8
961.4,0.8
1054.7,3.3
1155.2,2.5
1248.4,0.9
1348.9,0.6
