lengthStipe,NperSqM
52.9,4.1
157.8,6.3
257.3,5.1
356.7,1.5
456.1,1.6
555.5,1.2
649.4,2
748.8,1.8
848.2,0.7
947.6,1.1
1036,0.5
1140.9,0.2
1146.4,0.2
1251.4,0.7
1350.8,0.2
1433.6,0.2
1544.1,0.1
1643.5,0.2
1742.9,0.3
1836.8,0.2
