lengthStipe,proportion
43.3,0.065239551
149,0.266055046
235.6,0.109072375
336.5,0.086646279
447.1,0.108053007
538.5,0.023445464
668.3,0
802.9,0
932.7,0
1048.1,0.03058104
1158.7,0.090723751
1250,0.067278287
1355.8,0.106014271
1437.5,0.029561672
1543.3,0
1677.9,0.017329256
