lengthStipe,NperSqM
58.7,2.9
155.8,3.9
253,1.9
350.2,1.1
447.3,0.5
551,0.7
648.1,0.4
732.3,0.3
829.5,1.3
952.6,1.2
1036.8,3.3
1140.4,2.5
1231.1,0.3
