lengthStipe,proportion
12.1457,0.034618744
56.6802,0.061762749
105.2632,0.062155322
157.8947,0.080251326
206.4777,0.047993965
255.0607,0.055075139
315.7895,0.047993965
352.2267,0.048780101
408.9069,0.049567229
473.6842,0.09284041
514.17,0.049960792
562.753,0.064515713
623.4818,0.018096004
668.0162,0.033044489
720.6478,0.083792408
773.2794,0.056254839
817.8138,0.044846446
870.4453,0.037765271
931.1741,0.023603914
971.6599,0.007081174
