Name,DD Lat,DD Long
Crubstone,"55.62673,  ",-1.59781
Northern Hares,55.64674,-1.61241
Knox's Reef,55.62336,-1.6484
White Heugh,55.904662,-2.131614
Pettico Wick - Peanut,55.915673,-2.151022
Woody Rocks,55.906633,-2.1285
