stage,exposure,shp1,shp2,mn,prec
recruits,low,0.013315519615211144,0.3469577335004299,0.03695950087900949,0.36027325311564107
recruits,high,0.01656339856650206,0.4343370861206566,0.03673404471497516,0.45090048468715865
subcanopy,low,1.5004275746703049,1.2819091430194969,0.5392688689081898,2.7823367176898017
subcanopy,high,1.8922946464111812,2.462109823425055,0.43457025168871094,4.354404469836236
canopy,low,3.3542240002643195,3.9431775972678356,0.4596463488317068,7.297401597532155
canopy,high,4.602142937005651,4.293026314152543,0.5173755335129154,8.895169251158194
